"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
17,"15:39:18",1.574,3.806,5.096,4.440,5.003,0.096,1.654,6.869,2.699,8.796
119,"15:39:18",1.459,7.528,6.228,5.510,9.718,6.057,3.347,1.350,7.953,2.295
196,"15:39:18",0.273,4.920,1.952,1.701,2.328,0.839,0.487,7.014,6.759,4.590
182,"15:39:18",6.943,5.381,6.897,6.258,7.012,2.861,4.176,8.964,6.749,0.222
22,"15:39:18",7.287,7.100,7.158,2.402,6.928,6.987,5.585,0.978,1.982,5.054
102,"15:39:18",1.827,3.623,2.528,2.163,1.248,0.888,1.627,7.023,0.258,0.490
70,"15:39:18",2.222,3.321,7.743,3.838,6.168,4.447,8.258,5.536,0.936,5.409
14,"15:39:18",3.782,6.579,6.274,3.081,9.383,5.175,0.655,6.170,3.063,3.818
86,"15:39:18",2.468,4.686,5.934,5.609,2.255,6.425,0.744,2.907,2.220,4.035
163,"15:39:18",2.090,4.451,4.735,0.139,7.654,8.802,0.996,7.752,0.414,4.264
